index,CS.PA.div
1991-01-07,0.002512723
1992-06-11,0.002632376
1993-06-14,0.0027520298
1994-06-13,0.0005982672
1995-05-19,0.00065809424
1996-05-13,0.0007777474
1997-05-14,0.00089740107
1998-05-11,0.0010768812
1999-05-10,0.407991
2000-05-09,0.479989
2001-05-14,0.527988
2002-05-14,0.537588
2002-05-15,0.88318
2003-05-07,0.326393
2003-05-15,1.103975
2004-05-03,0.364792
2004-05-17,1.34397
2005-04-28,0.585587
2005-05-13,1.727962
2006-05-12,0.844781
2006-05-15,2.303949
2007-05-21,1.035702
2008-04-24,1.172493
2008-05-12,3.712895
2008-05-22,1.182264
2009-05-07,0.390831
2010-05-03,0.55
2011-04-29,0.69
2012-05-04,0.69
2013-05-09,0.72
2014-05-02,0.81
2015-05-11,0.95
2016-05-06,1.1
2017-05-05,1.16
2018-05-03,1.26
2019-05-02,1.34
2020-07-07,0.73
2021-05-07,1.43
2022-05-06,1.54
2023-05-08,1.7
2024-04-30,1.98
2025-05-05,2.15
